question_id,unit,question,answer_a,answer_b,answer_c,answer_d,correct,explanation_correct,hint
U1Q001,1,"What is the primary goal of cybersecurity?","Eliminate all technology risks","Make all data publicly available","Protect systems and data from attacks","Prevent all internet use",C,"That's right! Cybersecurity aims to protect information systems, networks, and data from unauthorized access, cyberattacks, and damage while ensuring confidentiality, integrity, and availability.","Think about what security fundamentally means in technology."
U1Q002,1,"Which of the following is NOT one of the CIA triad principles?","Confidentiality","Integrity","Availability","Authentication",D,"That's right! Authentication is a security control mechanism, not one of the CIA triad principles. The CIA triad consists of Confidentiality, Integrity, and Availability.","Remember the three letters CIA represent the three core principles."
U1Q003,1,"Confidentiality ensures that:","Data protected from unauthorised access","Data remains accurate and unaltered","Data is accessible when needed","Data gets backed up regularly",A,"That's right! Confidentiality ensures information is protected from unauthorized disclosure and only authorized personnel can access it using measures like encryption and access controls.","Think about what confidential means - private and restricted."
U1Q004,1,"Which measure helps maintain data integrity?","Making data available to all users","Deleting old backup files regularly","Using version control systems","Sharing passwords across team",C,"That's right! Version control systems track changes and prevent unauthorized alterations, helping maintain data accuracy and trustworthiness along with backups and access controls.","Consider what helps track and protect data from unauthorized changes."
U1Q005,1,"Availability in cybersecurity refers to:","Keeping all data completely secret","Making all organisational data public","Preventing all changes to data","Data accessible to authorised users",D,"That's right! Availability ensures information is accessible to authorized personnel when needed through measures like redundant systems, DDoS protection, and regular updates.","Think about the A in CIA - what must be maintained?"
U1Q006,1,"A cyber security threat is:","A weakness existing in system","Security control in place","Malicious act seeking to damage data","Backup system for data",C,"That's right! A threat is a malicious act that seeks to damage data, steal data, or disrupt digital operations, coming from hackers, malware, or other malicious sources.","Think about what threatens security - actions or weaknesses?"
U1Q007,1,"What is a vulnerability?","A security policy document","Weakness that can be exploited","A type of malicious software","An encryption method used",B,"That's right! A vulnerability is a weakness in systems, networks, or applications that can be exploited by attackers to gain unauthorized access.","Consider what makes a system susceptible to attack."
U1Q008,1,"Cyber risk refers to:","Internet connection speed","The cost of security software","The number of employees","Potential exposure to loss from systems",D,"That's right! Cyber risk is the potential exposure to loss or harm from an organization's information systems, combining threat likelihood with potential impact.","Think about risk as potential harm in the digital environment."
U1Q009,1,"What is a cyber security hazard?","Anything that could lead to breach","Outdated antivirus software only","An encrypted file on disk","Firewall configuration settings",A,"That's right! A hazard is anything that could lead to a breach or theft of data, such as poor security practices, unpatched systems, or inadequate access controls.","Consider what creates potential danger in cybersecurity."
U1Q010,1,"According to UK government studies, what is the most common type of cyber attack?","Physical theft of equipment","Hardware failure","Power outages","Phishing attacks",D,"That's right! Phishing attacks were identified as the most common cyber attack, followed by impersonation, as they exploit human vulnerabilities to gain unauthorized access.","Think about attacks that target people rather than systems."
U1Q011,1,"Which consequence category includes theft of intellectual property?","Reputational consequences","Legal consequences","Economic consequences","Social consequences",C,"That's right! Economic consequences include theft of intellectual property, financial information, trading disruption, and system repair costs that directly impact an organization's finances.","Consider what directly affects an organization's money and assets."
U1Q012,1,"How can a cyber attack cause reputational damage?","By improving overall security measures","Eroding trust with customers","By upgrading outdated systems","By increasing organisational profits",B,"That's right! Cyber attacks erode trust that customers, clients, suppliers, and partners have in an organization, potentially leading to loss of business and damaged brand reputation.","Think about how security breaches affect stakeholder confidence."
U1Q013,1,"What is malware?","Security software protecting systems","Network protocol for data","Hardware component of computer","Malicious software designed to steal",D,"That's right! Malware is an umbrella term for all types of malicious software designed to steal data, damage systems, or disrupt operations including viruses, trojans, and ransomware.","The prefix mal- means bad or harmful."
U1Q014,1,"Cloud computing refers to:","Computing services over internet","Local storage systems only","Offline backup storage systems","Physical servers in your building",A,"That's right! Cloud computing delivers on-demand computing services over the internet using provider's servers instead of on-premises infrastructure, offering scalability and accessibility.","Think about where the computing resources are located and accessed."
U1Q015,1,"Which is a cloud computing model?","Hardware as a Service","Storage as a Requirement","Infrastructure as a Service","Network as a Service",C,"That's right! Infrastructure as a Service (IaaS) is one of the three main cloud models, along with Platform as a Service (PaaS) and Software as a Service (SaaS).","Remember the three as-a-Service models in cloud computing."
U1Q016,1,"What is a breach in cybersecurity?","A backup process","A security improvement process","Exploiting vulnerability to gain access","A firewall update",C,"That's right! A breach occurs when an attacker successfully exploits a vulnerability to gain unauthorized access to files, data, networks, or systems.","Think about what happens when security is compromised."
U1Q017,1,"What is the primary function of a firewall?","Create regular backups","Filter data packets for threats","Encrypt sensitive files","Store data securely",B,"That's right! A firewall acts as a filtration system for data, scanning packets for malicious code or viruses before they enter a computer or network, blocking unauthorized access.","Consider what stands between your network and threats."
U1Q018,1,"What is encryption?","Sharing user passwords","Backing up important files","Deleting unwanted data","Encoding data to prevent theft",D,"That's right! Encryption encodes data to prevent theft, ensuring it can only be accessed with a secret encryption key, protecting confidentiality during storage and transmission.","Think about making data unreadable without the proper key."
U1Q019,1,"What is the difference between symmetric and asymmetric encryption?","Symmetric uses one key, asymmetric two","There is no difference between them","Symmetric is always slower than asymmetric","Asymmetric only uses one key",A,"That's right! Symmetric encryption uses a single shared key for both encryption and decryption, while asymmetric uses a public key to encrypt and a private key to decrypt.","Consider how many keys are involved in each method."
U1Q020,1,"What is multi-factor authentication (MFA)?","Single sign-on system","Using only passwords for access","Multiple methods to verify identity","Password sharing between users",C,"That's right! Multi-factor authentication requires multiple forms of verification (like password plus phone code) to access accounts, significantly improving security over passwords alone.","Think about layering different types of proof."
U1Q021,1,"What is access control?","Sharing all passwords with team","Deleting old user accounts","Blocking all users from access","Managing who can view resources",D,"That's right! Access control determines who can view, modify, or use specific resources, ensuring only authorized individuals have appropriate permissions based on their role and need.","Consider controlling who gets into what."
U1Q022,1,"Why is a strong password policy important?","Weak passwords are easily cracked","It's not really important","It's just a suggestion","It slows down all users",A,"That's right! Weak passwords can be easily cracked through brute-force attacks, dictionary attacks, or password guessing, making strong password policies essential for protecting accounts and systems.","Think about the first line of defense for accounts."
U1Q023,1,"What is privilege creep?","Regularly reducing user access levels","Regular permission reviews","Deleting old unused accounts","Users accumulate excess permissions",D,"That's right! Privilege creep occurs when users accumulate permissions beyond what they need for their current role, often from job changes or additional responsibilities, creating security risks.","Consider what happens to permissions when people change roles."
U1Q024,1,"What is the principle of least privilege?","Users get minimum required access","Give everyone full system access","Share administrator passwords","Block access for everyone",A,"That's right! The principle of least privilege means users should only have the minimum access necessary to perform their job, reducing risk if their account is compromised.","Think about giving people just what they need."
U1Q025,1,"What is a cyber attack?","User training session","Attempt to damage or steal data","Regular system maintenance","Software update process",B,"That's right! A cyber attack is a deliberate attempt to breach information systems to steal, damage, or disrupt data, often targeting financial gain, espionage, or causing disruption.","Consider intentional harmful actions against systems."
U1Q026,1,"Why do attackers target organizations?","To improve security measures","To help improve their systems","Financial gain, data theft, disruption","To fix software bugs",C,"That's right! Attackers target organizations for various reasons including financial gain, stealing valuable data, political motives, espionage, or simply causing disruption and damage.","Think about criminal motivations."
U1Q027,1,"What is social engineering?","Software development process","Hardware installation method","Designing network infrastructure","Manipulating people to reveal data",D,"That's right! Social engineering manipulates people into breaking security procedures or revealing confidential information through psychological manipulation rather than technical hacking.","Consider attacks targeting human psychology."
