question_id,unit,question,answer_a,answer_b,answer_c,answer_d,correct,explanation_correct,hint
U3Q001,3,"What type of testing uses automated software to find vulnerabilities like SQL injection?","Vulnerability scanning","Manual testing","Code review","Physical inspection",A,"That's right! Vulnerability scanning uses automated software tools to systematically scan systems for known security weaknesses like cross-site scripting, SQL injections, and misconfigurations.","Think about automated tools checking for known vulnerabilities."
U3Q002,3,"Which testing type assesses general security using both automated and manual tools?","Vulnerability scanning only","Security scanning","Penetration testing only","Social engineering",B,"That's right! Security scanning provides a comprehensive assessment of a system's general security level by detecting weak points and loopholes using a combination of automated tools and manual techniques.","Consider a broader assessment than just vulnerability scanning."
U3Q003,3,"What is penetration testing?","Installing antivirus software","Deleting unnecessary files","Simulating attacks to check vulnerabilities","Creating backup systems",C,"That's right! Penetration testing (pen testing) simulates real cyber attacks to check for vulnerabilities in applications or infrastructure, using the same techniques as malicious hackers.","Think about ethical hacking to find weaknesses."
U3Q004,3,"What is social engineering testing?","Network scanning procedures","Installing firewall systems","Creating strong passwords","Testing employees with scams",D,"That's right! Social engineering testing involves attempting scams and manipulation tactics on employees to test the effectiveness of security policies, training, and human defenses.","Consider testing the human element of security."
U3Q005,3,"What is red teaming?","Team exercise testing response capabilities","Installing system updates","Deleting old systems","Creating documentation",A,"That's right! Red teaming (ethical hacking) involves a group of security professionals attempting to breach systems to test the organization's detection and response capabilities.","Think about simulated adversaries testing defenses."
U3Q006,3,"Why conduct security testing regarding organizational weaknesses?","It's not necessary","Identify vulnerabilities before attackers","To waste time","To complicate things",B,"That's right! Security testing proactively identifies hidden weaknesses and vulnerabilities before malicious attackers can discover and exploit them, enabling preventive measures.","Consider finding problems before attackers do."
U3Q007,3,"What do standards like ISO 27001 and GDPR often require?","No testing needed","Ignoring security issues","Regular security testing","Deleting all data",C,"That's right! Security standards such as ISO 27001, GDPR, and PCI DSS often mandate regular security testing to ensure ongoing compliance and adequate protection levels.","Think about compliance requirements for testing."
U3Q008,3,"Pro of Pen Testing: What can pen testers find that other tests might miss?","Nothing special","Only known issues","Surface-level problems only","Entry points from combined vulnerabilities",D,"That's right! Because penetration testers use the same methods as real hackers, they can discover complex attack paths created by chaining together multiple smaller vulnerabilities that automated tools would miss.","Consider how attackers chain multiple small issues."
U3Q009,3,"Con of Pen Testing: What damage can occur if not performed correctly?","Crashing servers or exposing data","No damage possible","Only benefits occur","Improved security guaranteed",A,"That's right! Incorrectly performed penetration testing can accidentally crash servers, expose sensitive data, corrupt critical production data, or disrupt business operations.","Think about the risks of aggressive security testing."
U3Q010,3,"Con of Pen Testing: Why can results be misleading if employees know about the test?","They can't be misleading","Employees prepare, appearing stronger","Results are always accurate","Testing improves automatically",B,"That's right! When employees know a test is coming, they become more vigilant and prepared, creating artificially good results that don't reflect real-world security posture during normal operations.","Consider the Hawthorne effect in security testing."
