question_id,unit,question,answer_a,answer_b,answer_c,answer_d,correct,explanation_correct,hint
U5Q001,5,"What is the primary goal of GDPR?","Strengthen data protection for individuals","Complicate business operations and create unnecessary administrative burdens","Reduce security standards and weaken protections significantly","Eliminate privacy rights and allow unrestricted data access",A,"That's right! The General Data Protection Regulation (GDPR) is a Europe-wide regulation designed to strengthen and unify data protection for all individuals, giving people control over their personal data.","Think about protecting people's personal information."
U5Q002,5,"What is the UK's version of GDPR called?","GDPR only","UK GDPR","British Data Protection Act","Privacy Law",B,"That's right! The UK GDPR is the United Kingdom's version of the General Data Protection Regulation, brought into domestic law post-Brexit to continue protecting personal data.","Consider the UK's post-Brexit data protection law."
U5Q003,5,"What two types of measures must organizations implement under GDPR?","Only technical security measures like firewalls and encryption systems","Only organizational policies, procedures, and training programs","Technical and organizational measures","Neither type of measure",C,"That's right! GDPR requires organizations to implement both technical measures (such as firewalls, encryption) and organizational measures (such as policies, procedures, training) to protect personal data.","Think about technology and processes together."
U5Q004,5,"What is the role of the Data Protection Act 2018?","Replace GDPR completely and supersede all European regulations","Contradict GDPR regulations and create conflicting requirements","Ignore all privacy concerns and eliminate data protections","Work with GDPR to safeguard information",D,"That's right! The Data Protection Act 2018 works alongside the GDPR to provide a comprehensive framework for safeguarding all personal or sensitive information held about individuals in the UK.","Consider how UK law complements EU regulation."
U5Q005,5,"According to the DPA, how long should customer data be kept?","Not longer than necessary","Forever without any limits or restrictions whatsoever","One day maximum before mandatory deletion","Deleted immediately upon collection",A,"That's right! The DPA states data must not be kept longer than necessary, meaning it would be wrong to keep information about past customers for more than a few years at most.","Think about data minimization and retention limits."
U5Q006,5,"What specific offence is in section 170 of the Data Protection Act 2018?","Encryption methods and cryptographic techniques for securing data","Obtaining personal data without consent","Backing up data regularly and maintaining recovery systems","Creating strong passwords and implementing access controls",B,"That's right! Section 170 specifically criminalizes knowingly or recklessly obtaining or disclosing personal data without proper consent or authorization, with penalties for violations.","Consider unauthorized data access or sharing."
U5Q007,5,"How does NIS differ from GDPR?","No difference at all between the two regulations","GDPR: personal data; NIS: systems","They're completely identical in scope and requirements","NIS is exclusively about personal data protection only",B,"That's right! While GDPR focuses on the security of personal data, the NIS (Network and Information Systems) regulations are concerned with the security of information systems themselves.","Think about data vs infrastructure protection."
U5Q008,5,"What is the maximum fine for NIS non-compliance?","No fines at all for any violations","£100 maximum penalty","Up to £17 million","£1000 only",C,"That's right! Under the NIS regulations, failure to meet security requirements can result in fines up to a maximum of £17 million for serious violations.","Consider substantial regulatory penalties."
U5Q009,5,"What UK body publishes guidance for NIS compliance?","None exists to provide guidance","Local government councils and regional authorities","Private consulting companies and commercial organizations","National Cyber Security Centre",D,"That's right! The National Cyber Security Centre (NCSC), part of GCHQ, publishes official guidance and best practices for organizations to comply with NIS regulations.","Think about the UK's cyber security authority."
U5Q010,5,"What does the Computer Misuse Act 1990 make illegal?","Legal access to authorized systems and networks","Regular computing activities and normal operations","Authorized use with proper permissions only","Accessing data without consent",D,"That's right! The Computer Misuse Act makes it a criminal offense to access or modify data stored on computer systems without appropriate consent or permission from the system owner.","Consider unauthorized computer access."
U5Q011,5,"What does unauthorised access to computer material refer to?","Entering a system without permission","Legal authorized use with proper credentials and permissions","Regular login procedures following standard protocols","Authorized access with explicit permission granted",A,"That's right! Under the Computer Misuse Act, unauthorised access to computer material refers to entering a computer system without permission, commonly known as hacking.","Think about illegal system entry."
U5Q012,5,"What does unauthorised modification of data cover?","Legal changes with proper authorization and approval","Modifying data or introducing malware","Authorized updates following change management procedures","Regular system maintenance with documented approval",B,"That's right! This offense covers illegally modifying or deleting data, as well as introducing malware or spyware onto computer systems without authorization.","Consider illegal data changes and malware."
U5Q013,5,"What is the lowest penalty for unauthorised computer access?","No penalty whatsoever for first offenses","Warning only with no legal consequences","Up to two years prison and £5000 fine","Life imprisonment for any violation",C,"That's right! The minimum penalty under the Computer Misuse Act for simple unauthorised access to a computer is up to two years in prison and a fine of up to £5000.","Think about basic hacking penalties."
U5Q014,5,"What is the maximum penalty if unauthorised access causes serious harm?","Small fine only without any prison sentence","One year prison maximum sentence","Warning only with community service","Up to life imprisonment",D,"That's right! If unauthorised access under the Computer Misuse Act causes harm to human welfare, national security, or the economy, the sentence could be up to life imprisonment.","Consider the most serious cyber crimes."
U5Q015,5,"What is the primary purpose of the Official Secrets Acts 1989?","Protect UK against espionage","Public disclosure encouragement and transparency promotion","Share government secrets publicly with citizens","Eliminate all government secrecy and classification",A,"That's right! The Official Secrets Acts are legal documents designed to protect the United Kingdom against espionage and the unauthorized leaking of sensitive government information.","Think about protecting state secrets."
