question_id,unit,question,answer_a,answer_b,answer_c,answer_d,correct,explanation_correct,hint
U2Q001,2,"What is a cyber threat?","Malicious attempt to damage systems","A security measure protecting systems","An encryption method for data","A backup system for recovery",A,"That's right! A cyber threat is a malicious attempt to damage, disrupt, or steal from computer systems, networks, or digital infrastructure, posing risks to data and operations.","Think about what threatens your digital security."
U2Q002,2,"What is cyber threat intelligence?","Installing antivirus software","Collecting and analyzing threat information","Creating strong passwords","Deleting unnecessary files",B,"That's right! Cyber threat intelligence involves systematically collecting, processing, and analyzing information about cyber threats to develop preventative measures and informed security strategies.","Consider how organizations gather knowledge about threats."
U2Q003,2,"What type of threat intelligence guides resource allocation for specific attacks?","Strategic intelligence","Tactical intelligence","Operational intelligence","Financial intelligence",C,"That's right! Operational threat intelligence focuses on specific threat actors and potential attacks, helping organizations allocate resources effectively to defend against imminent or probable threats.","Think about day-to-day security operations and responses."
U2Q004,2,"What type of threat intelligence focuses on current TTPs (techniques, tactics, and procedures)?","Strategic intelligence","Administrative intelligence","Operational intelligence","Tactical intelligence",D,"That's right! Tactical threat intelligence examines the current techniques, tactics, and procedures used by threat actors, helping security teams understand and defend against specific attack methods.","Consider intelligence about how attackers operate right now."
U2Q005,2,"Which threat intelligence type informs senior managers about threat landscape changes?","Tactical intelligence","Technical intelligence","Strategic intelligence","Operational intelligence",C,"That's right! Strategic threat intelligence provides high-level insights about the evolving threat landscape to senior management, supporting long-term planning and strategic security decisions.","Think about executive-level, big-picture intelligence."
U2Q006,2,"What is a vulnerability in cybersecurity?","Weakness that can be exploited","An attack method used","A backup plan","A security policy document",A,"That's right! A vulnerability is a weakness in systems, software, or processes that can be exploited by threat actors to gain unauthorized access or cause damage.","Consider what makes a system susceptible to attack."
U2Q007,2,"What causes software flaws that create vulnerabilities?","Perfect coding practices","Poor design or configuration","Strong password policies","Regular system updates",B,"That's right! Software flaws result from bugs, backdoors, or configuration errors during development and setup, creating exploitable weaknesses in systems and applications.","Think about imperfections in software development."
U2Q008,2,"What is a zero-day exploit?","An old known attack","A scheduled update","Attack before patch exists","A known threat",C,"That's right! A zero-day exploit attacks a software weakness on the same day it's discovered, before developers can create and distribute a security patch, making it especially dangerous.","Consider what zero days to fix means."
U2Q009,2,"In cybersecurity, what term combines threat, vulnerability, and impact?","Security","Control","Risk","Policy",C,"That's right! Risk is the combination of a threat (what could happen), a vulnerability (a weakness), and the potential impact (consequences), used to prioritize security efforts.","Think about assessing potential danger comprehensively."
U2Q010,2,"What is an exploit?","Security software program","A firewall rule","Code taking advantage of vulnerability","A backup system",C,"That's right! An exploit is a piece of code or technique specifically designed to take advantage of a software vulnerability or security flaw to compromise systems.","Consider the tool attackers use to leverage weaknesses."
U2Q011,2,"What is the first phase of the threat intelligence lifecycle?","Planning and direction","Analysis phase","Collection phase","Dissemination phase",A,"That's right! Planning and direction is the first phase where organizations define objectives, requirements, and priorities for their threat intelligence program.","Think about what must come before gathering intelligence."
U2Q012,2,"During which phase is raw data organized and translated?","Planning phase","Processing phase","Feedback phase","Collection phase",B,"That's right! The processing phase involves organizing, decrypting, translating, and structuring raw threat data into a format that can be analyzed and used for decision-making.","Consider what happens to raw data before analysis."
U2Q013,2,"What is the dissemination phase?","Collecting raw data","Installing new software","Creating and distributing reports","Deleting old files",C,"That's right! Dissemination involves creating comprehensive threat intelligence reports and distributing them to decision makers and stakeholders who need the information.","Think about sharing intelligence with those who need it."
U2Q014,2,"What is the final phase where decision makers determine next steps?","Analysis phase","Feedback phase","Collection phase","Processing phase",B,"That's right! The feedback phase is where decision makers review the intelligence, evaluate its usefulness, and determine what actions to take and what additional intelligence is needed.","Consider the loop that improves the intelligence process."
U2Q015,2,"What are Indicators of Compromise (IoCs)?","Security policy documents","Encryption keys for systems","Forensic data identifying malicious activity","Firewall configurations",C,"That's right! IoCs are pieces of forensic data, like unusual network traffic or file changes, that can identify potentially malicious activity or security incidents on systems.","Think about clues that something malicious happened."
U2Q016,2,"How can the deep web be a source for threat intelligence?","It hosts hacking forums","It can't provide intelligence","It has no valuable information","It's perfectly safe always",A,"That's right! The deep web hosts member-only hacking forums that provide valuable intelligence about new malware, exploits, attack techniques, and criminal discussions.","Consider where hackers share information privately."
U2Q017,2,"What is the primary use of monitoring the dark web for cybersecurity?","Entertainment purposes only","Finding stolen data for sale","Shopping for products","Social networking activities",B,"That's right! Monitoring the dark web helps security professionals discover if stolen data, login credentials, or intellectual property from their organization is being advertised or sold.","Think about where stolen goods are sold online."
U2Q018,2,"What are paste sites and why are they relevant to threat intelligence?","Shopping websites","Video platforms","Text-sharing sites used by criminals","Email services",C,"That's right! Paste sites are platforms for sharing plain text that criminals sometimes use to leak breached data, share attack plans, or distribute stolen information.","Consider anonymous public text-sharing platforms."
U2Q019,2,"What is Open Source Intelligence (OSINT)?","Classified information only","Information from public sources","Secret government documents","Encrypted private data",B,"That's right! OSINT is information gathered from sources available to the general public, including the internet, news media, public records, and social media.","Think about intelligence from non-secret sources."
U2Q020,2,"What are Google dork queries?","Regular normal searches","Advanced search functions","Email addresses list","Password cracking tools",B,"That's right! Google dork queries use advanced search operators to find specific types of publicly available information that might reveal vulnerabilities or sensitive data.","Consider using search engines like a power user."
U2Q021,2,"What is malware?","Security software protecting systems","Hardware components of computers","Malicious software harming systems","Network protocol for data",C,"That's right! Malware is malicious software designed to harm, disrupt, or gain unauthorized access to computer systems, including viruses, trojans, worms, and ransomware.","Think about software with harmful intentions."
U2Q022,2,"What is phishing?","Installing antivirus software","Tricking users to reveal information","Hardware maintenance process","Network configuration method",B,"That's right! Phishing uses fake emails, websites, or messages to trick users into revealing sensitive information like passwords, credit card numbers, or personal details.","Consider deceptive messages seeking your information."
U2Q023,2,"What is social engineering?","Network design process","Software development method","Manipulating people to break security","Hardware installation procedure",C,"That's right! Social engineering manipulates people psychologically to break security procedures, reveal confidential information, or grant unauthorized access to systems.","Think about attacks targeting human psychology."
U2Q024,2,"What is a Man-in-the-Middle (MitM) attack?","Improving network speed","Intercepting communication between parties","Creating system backups","Installing security updates",B,"That's right! In a MitM attack, an attacker secretly intercepts and possibly alters communication between two parties who believe they are communicating directly with each other.","Consider an eavesdropper between two people."
U2Q025,2,"What is SQL injection?","Database security feature","Programming language type","Network protocol standard","Attack inserting malicious SQL code",D,"That's right! SQL injection is an attack where malicious SQL code is inserted into application queries, allowing attackers to view, modify, or delete database contents.","Think about injecting harmful code into databases."
U2Q026,2,"What is a brute force attack?","Trying many password combinations","Network optimization method","Creating system backups","Installing security software",A,"That's right! A brute force attack systematically tries many password combinations until finding the correct one, using computational power to crack passwords.","Consider trying every possible combination."
U2Q027,2,"What is a dictionary attack?","Language learning method","Network configuration tool","Using common words to guess passwords","Hardware testing procedure",C,"That's right! A dictionary attack uses lists of common words, phrases, and previously leaked passwords to guess user passwords more efficiently than pure brute force.","Think about using word lists to crack passwords."
U2Q028,2,"What is Cross-Site Scripting (XSS)?","Network protocol","Injecting malicious scripts into websites","Hardware component","Security feature",B,"That's right! XSS attacks inject malicious scripts into trusted websites, which then execute in users' browsers, potentially stealing data or hijacking sessions.","Consider harmful code hidden in web pages."
